event_id,event_start,implied_probability_away,ML_away,away_team,current_line,current_total,home_team,ML_home,implied_probability_home,line_change,total_change,event_status,opening_line,closing_line,opening_total,closing_total,opening_ML_away,closing_ML_away,opening_ML_home,closing_ML_home,opening_capture_time,closing_capture_time,countdown,capture_time
179618933,2020-12-22 19:00:00-05:00,,,GS Warriors,,,BKN Nets,,,,,,-5.5,-7.0,230.5,235.0,188.0,230.0,-235.0,-286.0,2020-12-16 15:49:31.330400-05:00,2020-12-22 18:59:29.434760-05:00,,
179618936,2020-12-22 22:00:00-05:00,,,LA Clippers,,,LA Lakers,,,,,,-2.0,-2.0,224.0,219.5,110.0,110.0,-136.0,-132.0,2020-12-16 15:49:31.330400-05:00,2020-12-22 21:59:50.379820-05:00,,
179618937,2020-12-23 19:30:00-05:00,,,MIL Bucks,,,BOS Celtics,,,,,,3.0,,226.5,,-152.0,,125.0,,2020-12-16 15:49:31.330400-05:00,,,
179623773,2020-12-23 19:30:00-05:00,,,NO Pelicans,,,TOR Raptors,,,,,,-5.5,,230.0,,175.0,,-215.0,,2020-12-16 15:49:31.330400-05:00,,,
179618935,2020-12-23 22:30:00-05:00,,,DAL Mavericks,,,PHO Suns,,,,,,-1.0,,237.0,,-106.0,,-115.0,,2020-12-16 15:49:31.330400-05:00,,,
179618788,2020-12-25 12:00:00-05:00,,,NO Pelicans,,,MIA Heat,,,,,,-5.5,,,,188.0,,-235.0,,2020-12-16 15:49:31.330400-05:00,,,
179618789,2020-12-25 14:30:00-05:00,,,GS Warriors,,,MIL Bucks,,,,,,-7.5,,237.0,,245.0,,-315.0,,2020-12-16 15:49:31.330400-05:00,,,
179618790,2020-12-25 17:00:00-05:00,,,BKN Nets,,,BOS Celtics,,,,,,1.0,3.0,231.0,230.0,-117.0,-143.0,-104.0,123.0,2020-12-16 15:49:31.330400-05:00,2020-12-25 16:59:28.091536-05:00,,
179618791,2020-12-25 20:00:00-05:00,,,DAL Mavericks,,,LA Lakers,,,,,,-7.0,-6.5,227.0,226.5,225.0,235.0,-278.0,-295.0,2020-12-16 15:49:31.330400-05:00,2020-12-25 19:59:41.057330-05:00,,
179618792,2020-12-25 22:30:00-05:00,,,LA Clippers,,,DEN Nuggets,,,,,,2.0,3.5,225.5,226.5,-125.0,-167.0,102.0,138.0,2020-12-16 15:49:31.330400-05:00,2020-12-25 22:28:49.028957-05:00,,
179636491,2020-12-23 19:10:00-05:00,,,MIA Heat,,,ORL Magic,,,,,,3.0,,219.5,,-148.0,,120.0,,2020-12-18 10:15:28.769760-05:00,,,
179636490,2020-12-23 19:10:00-05:00,,,NY Knicks,,,IND Pacers,,,,,,-8.5,,211.5,,295.0,,-385.0,,2020-12-18 10:15:28.769760-05:00,,,
179636492,2020-12-23 19:10:00-05:00,,,WAS Wizards,,,PHI 76ers,,,,,,-7.5,,228.5,,245.0,,-315.0,,2020-12-18 10:15:28.769760-05:00,,,
179636489,2020-12-23 19:10:00-05:00,,,CHA Hornets,,,CLE Cavaliers,,,,,,-1.0,,215.5,,-107.0,,-114.0,,2020-12-18 10:15:28.769760-05:00,,,
179636506,2020-12-23 20:10:00-05:00,,,ATL Hawks,,,CHI Bulls,,,,,,2.0,,231.0,,-130.0,,106.0,,2020-12-18 10:15:28.769760-05:00,,,
179636507,2020-12-23 20:10:00-05:00,,,SA Spurs,,,MEM Grizzlies,,,,,,-3.0,,231.0,,120.0,,-148.0,,2020-12-18 10:15:28.769760-05:00,,,
179636509,2020-12-23 20:10:00-05:00,,,DET Pistons,,,MIN Timberwolves,,,,,,-5.0,,225.5,,160.0,,-200.0,,2020-12-18 10:15:28.769760-05:00,,,
179636508,2020-12-23 21:10:00-05:00,,,SAC Kings,,,DEN Nuggets,,,,,,-8.5,,225.5,,295.0,,-385.0,,2020-12-18 10:15:28.769760-05:00,,,
179636511,2020-12-23 22:10:00-05:00,,,UTA Jazz,,,POR Trail Blazers,,,,,,-1.5,,229.0,,100.0,,-122.0,,2020-12-18 10:15:28.769760-05:00,,,
179641148,2020-12-23 20:10:00-05:00,,,OKC Thunder,,,HOU Rockets,,,,,,-7.0,,226.0,,220.0,,-278.0,,2020-12-22 18:26:59.970649-05:00,,,
179643538,2020-12-26 17:10:00-05:00,0.46,117.0,ATL Hawks,-2.5,238.5,MEM Grizzlies,-139.0,0.58,-1.5,1.5,NOT_STARTED,-1.0,,237.0,,-106.0,,-114.0,,2020-12-25 19:24:38.231016-05:00,,0 days 05:25:22.166407,2020-12-26 11:44:37.833593-05:00
179643537,2020-12-26 19:10:00-05:00,,,CLE Cavaliers,,,DET Pistons,,,,,,-2.5,,217.0,,114.0,,-136.0,,2020-12-25 19:24:38.231016-05:00,,,
179643548,2020-12-26 19:10:00-05:00,0.48,107.0,ORL Magic,-2.0,230.5,WAS Wizards,-129.0,0.56,0.0,2.0,NOT_STARTED,-2.0,,228.5,,107.0,,-129.0,,2020-12-25 19:24:38.231016-05:00,,0 days 07:25:22.166407,2020-12-26 11:44:37.833593-05:00
179643536,2020-12-26 19:10:00-05:00,0.46,118.0,OKC Thunder,-2.5,217.5,CHA Hornets,-141.0,0.59,0.5,-1.5,NOT_STARTED,-3.0,,219.0,,128.0,,-155.0,,2020-12-25 19:24:38.231016-05:00,,0 days 07:25:22.166407,2020-12-26 11:44:37.833593-05:00
179643540,2020-12-26 19:40:00-05:00,0.79,-375.0,PHI 76ers,8.5,215.0,NY Knicks,295.0,0.25,0.5,-3.0,NOT_STARTED,8.0,,218.0,,-335.0,,270.0,,2020-12-25 19:24:38.231016-05:00,,0 days 07:55:22.166407,2020-12-26 11:44:37.833593-05:00
179643539,2020-12-26 20:10:00-05:00,0.67,-200.0,IND Pacers,5.0,222.5,CHI Bulls,165.0,0.38,0.5,-1.0,NOT_STARTED,4.5,,223.5,,-182.0,,155.0,,2020-12-25 19:24:38.231016-05:00,,0 days 08:25:22.166407,2020-12-26 11:44:37.833593-05:00
179643535,2020-12-26 20:40:00-05:00,0.57,-130.0,TOR Raptors,2.0,228.0,SA Spurs,110.0,0.48,1.0,3.0,NOT_STARTED,1.0,,225.0,,-114.0,,-106.0,,2020-12-25 19:24:38.231016-05:00,,0 days 08:55:22.166407,2020-12-26 11:44:37.833593-05:00
179643534,2020-12-26 21:10:00-05:00,0.24,320.0,MIN Timberwolves,-9.0,228.5,UTA Jazz,-420.0,0.81,-1.0,3.5,NOT_STARTED,-8.0,,225.0,,270.0,,-335.0,,2020-12-25 19:24:38.231016-05:00,,0 days 09:25:22.166407,2020-12-26 11:44:37.833593-05:00
179643533,2020-12-26 22:10:00-05:00,0.62,-162.0,PHO Suns,3.5,227.5,SAC Kings,135.0,0.43,0.0,-0.5,NOT_STARTED,3.5,,228.0,,-162.0,,135.0,,2020-12-25 19:24:38.231016-05:00,,0 days 10:25:22.166407,2020-12-26 11:44:37.833593-05:00
179644051,2020-12-26 22:10:00-05:00,0.29,245.0,HOU Rockets,-7.5,226.0,POR Trail Blazers,-305.0,0.75,1.0,1.0,NOT_STARTED,-8.5,,225.0,,295.0,,-375.0,,2020-12-26 09:46:33.713577-05:00,,0 days 10:25:22.166407,2020-12-26 11:44:37.833593-05:00
